¿Cuál es el planeta más cercano al Sol?;Mercurio;Venus;Tierra;Marte
¿Quién escribió "Don Quijote de la Mancha"?;Miguel de Cervantes;William Shakespeare;Gabriel García Márquez;Mark Twain
¿Cuál es la capital de Francia?;París;Londres;Berlín;Roma
¿En qué año llegó el hombre a la Luna?;1969;1965;1972;1980
¿Cuál es el elemento químico con símbolo H?;Hidrógeno;Helio;Hierro;Hafnio
¿Cuál es el océano más grande del mundo?;Pacífico;Atlántico;Índico;Ártico
¿Quién pintó la "Mona Lisa"?;Leonardo da Vinci;Vincent van Gogh;Pablo Picasso;Salvador Dalí
¿Cuál es el país más grande del mundo en superficie?;Rusia;China;Estados Unidos;Canadá
¿Cuántos continentes hay en el mundo?;7;5;6;8
¿En qué país se encuentra la Torre Eiffel?;Francia;España;Italia;Alemania
